Minisector,HAM,RUS,Fastest
0,265.91659186668693,270.5695008571428,RUS
1,286.2019895750549,287.8669309931948,RUS
2,273.840884352,276.7272617064713,RUS
3,156.70559609881138,146.5537477272369,HAM
4,190.41592393484527,186.52558624724827,HAM
5,173.5457419670366,170.39593350107054,HAM
6,164.14458277812815,157.98415644821026,HAM
7,186.70641059918367,182.25712658913574,HAM
8,238.45875419872237,234.34134280129783,HAM
9,220.68994167816712,232.95276496507935,RUS
10,143.86362031707696,138.64365453901854,HAM
11,221.89487713234666,214.7671130394976,HAM
12,107.05022953163403,103.00051707491379,HAM
13,214.78751030227272,205.8079936035338,HAM
14,263.44992621670457,262.7037083854968,HAM
15,271.82132472573187,274.12096154920636,RUS
16,170.1455945727974,172.69573649679282,RUS
17,157.33457505861523,153.78181175969766,HAM
18,250.60575250668896,248.62643555801213,HAM
19,275.27112630273194,275.3662217866667,RUS
20,290.205843733686,285.7237785374741,HAM
21,278.25555259800234,283.2085370625056,RUS
22,233.45054493563302,254.96682559516725,RUS
23,99.32899661439481,100.48963195159112,RUS
24,220.55253066777072,218.93247637333332,HAM
25,,256.21124970666665,RUS
