Minisector,VER,LEC,Fastest
0,278.07342382423815,275.0548455687716,VER
1,293.40517076047706,297.34907350187035,LEC
2,288.50716644977774,296.2485000472381,LEC
3,185.2457295858079,190.88870855434644,LEC
4,128.48371273105846,122.52071085973476,VER
5,241.83968613604995,237.13531961915217,VER
6,284.1154711586092,285.5884858268385,LEC
7,287.7578516923077,302.81879082957903,LEC
8,169.2818773561483,176.02215019715885,LEC
9,144.8044052565779,136.8017708629755,VER
10,253.2952613095546,248.6994374224524,VER
11,284.771000192,287.57086833417253,LEC
12,294.6134999893333,297.96842073129045,LEC
13,288.019283606613,278.7874999466667,VER
14,299.8918404444444,300.42060593461616,LEC
15,298.58802062222225,306.3286495446446,LEC
16,258.8636277280788,254.13051964936608,VER
17,234.4218825496774,214.26277845810066,VER
18,285.2332537333333,277.52456448534343,VER
19,303.2615942956522,305.76849979733333,LEC
20,300.6478330026667,314.7829969358178,LEC
21,232.83640919040232,217.39080743462745,VER
22,260.50854631292515,254.3209031487707,VER
23,142.76350124965356,141.88335554364116,VER
24,217.02543983857603,203.74252167997494,VER
25,,256.13749902222224,LEC
