Minisector,OCO,NOR,Fastest
0,298.67734055362706,333.67373303371414,NOR
1,279.92037037037034,307.23036063492066,NOR
2,171.32071414768342,168.81771784623433,OCO
3,199.14393936161616,196.1457148038095,OCO
4,221.73352863025158,225.8916449536083,NOR
5,266.7221666986667,265.910333056,OCO
6,226.90827808479096,228.93348304828143,NOR
7,208.11015646666667,210.50931559398134,NOR
8,164.2249009168254,164.92452440676178,NOR
9,173.37051366290598,178.17522494959007,NOR
10,176.1562812631579,179.99972616559364,NOR
11,205.06280356979377,208.024579549345,NOR
12,237.45743996190478,238.40591193844898,NOR
13,164.89841383858985,166.63964863534412,NOR
14,244.28445885440556,249.97631983498164,NOR
15,271.56457141028574,275.2264998826667,NOR
16,265.122487493584,269.2457699495689,NOR
17,257.34221727665727,260.25496836923077,NOR
18,247.7558203823633,250.75602959391068,NOR
19,243.53731703363226,248.2337395153622,NOR
20,258.47500023466665,260.98337264547865,NOR
21,195.48539332387872,196.00923249735766,NOR
22,211.8634175849624,217.0162636702515,NOR
23,273.20523591587664,278.056746509922,NOR
24,291.6198165904762,299.57845398198333,NOR
25,,305.24722204444447,NOR
