Minisector,LEC,STR,Fastest
0,286.9935209770308,279.38102085925925,LEC
1,122.43118020729732,127.33315087471861,STR
2,167.84240787252833,158.68996702265488,LEC
3,210.7384833921429,217.81270349357698,STR
4,164.96728575587554,159.6919943767431,LEC
5,247.36112965102538,238.36124604310777,LEC
6,210.91689689608714,209.4191599861472,LEC
7,140.14783158119957,135.10552598639455,LEC
8,238.65000668434115,229.62038471619047,LEC
9,279.4822649934248,274.2629986621071,LEC
10,287.3539056,283.21927213333333,LEC
11,148.24600881139688,147.24474928178515,LEC
12,223.2475667186147,219.37454479092972,LEC
13,273.6192716888889,268.1468063739909,LEC
14,277.53815949469055,270.50763461415096,LEC
15,100.80482782814815,103.58548160599034,STR
16,222.54242608484847,210.09014962424243,LEC
17,275.02708406666665,265.7297803819905,LEC
18,294.37498058338736,290.3508028951221,LEC
19,304.96797629968256,300.51015866920636,LEC
20,308.89296305777776,300.12083333333334,LEC
21,295.28474912239767,279.3615231372549,LEC
22,159.8004755047619,152.87262387036193,LEC
23,236.05348180489904,230.04107006984128,LEC
24,276.5102165984912,271.27765371895447,LEC
25,286.0,280.02142811428575,LEC
