Minisector,PIA,ALO,Fastest
0,297.5762582176242,301.8591077687646,ALO
1,208.19449525388035,219.57569845040737,ALO
2,149.59409073129706,142.63908545370438,PIA
3,227.43642504557914,221.50927533522335,PIA
4,175.30418460947067,164.7595637913364,PIA
5,193.80207381057363,182.4917316864539,PIA
6,255.83274761461124,253.37691611733334,PIA
7,277.92030356888887,276.9852796546482,PIA
8,281.68782851116424,285.3065295706278,ALO
9,266.61661450756304,260.67278842412696,PIA
10,256.28666653333335,241.3313495202497,PIA
11,250.30393440570964,239.88527460077228,PIA
12,221.7428531699499,214.881010778355,PIA
13,134.77170402498425,131.27767501205562,PIA
14,147.30004319389707,143.5108923653368,PIA
15,179.19244196871986,180.5706178826304,ALO
16,252.16569514013585,250.34560841467263,PIA
17,239.3493584817166,243.51480767157287,ALO
18,115.68978669350568,113.68006093410843,PIA
19,201.75015957372773,200.8170604825397,PIA
20,207.4687658144222,202.42325139483663,PIA
21,239.67969958944164,235.03706766875283,PIA
22,266.40831538190116,264.2243291286349,PIA
23,282.02587450600123,282.4294269636364,ALO
24,292.8033927583332,294.8403343898413,ALO
25,295.2812504,,PIA
