Minisector,ALB,TSU,Fastest
0,299.35027754158733,295.2670384952381,ALB
1,168.53306257025451,168.3475586588558,ALB
2,177.0061747212179,181.77508179098314,TSU
3,257.59269472832705,255.8535857932919,ALB
4,286.366485244839,286.18904177132106,ALB
5,246.91033313523812,260.2859697741381,TSU
6,226.27251772763523,232.99379972332815,TSU
7,149.55700343091002,151.41473093532593,TSU
8,229.31662812814102,224.09374278658603,ALB
9,286.04937698597666,280.15155615059416,ALB
10,306.7617559917649,300.9138852073213,ALB
11,316.3473793936842,311.78557761134795,ALB
12,320.99017541614035,315.6936173265163,ALB
13,322.47003286736845,315.9466515009524,ALB
14,129.9491825331789,126.4433177214654,ALB
15,115.91696968842068,119.41996025089932,TSU
16,103.48939682653943,103.5368517426181,TSU
17,236.51050794466073,231.7611423494211,ALB
18,288.47284293269007,280.7738215695238,ALB
19,308.1643561295031,301.0057837694661,ALB
20,316.9910663568254,311.6681280379798,ALB
21,320.7909352116368,312.3935454117647,ALB
22,129.99282372243914,107.88308077031425,ALB
23,202.47001957029028,209.43378486111828,TSU
24,272.4039805303921,273.5704440495238,TSU
