Minisector,SAI,COL,Fastest
0,277.11388893121693,287.7789115203475,COL
1,285.66345061052635,294.07896817777777,COL
2,221.2950541468132,232.13860944124033,COL
3,110.5489125083015,115.1338544872947,COL
4,134.5782177823547,136.79481324641742,COL
5,259.2633159928723,256.6874453445488,SAI
6,242.46509959232574,248.76722517042407,COL
7,126.97512438402411,131.05878706069583,COL
8,247.38058028761904,246.26682573921119,SAI
9,244.37562130716265,249.6055988839619,COL
10,196.04334650202517,201.3191622393387,COL
11,136.17058095586057,144.20547861234297,COL
12,208.9904301825683,199.91698574909879,SAI
13,253.365096364127,250.89991949726678,SAI
14,109.13640828209968,115.5307879636804,COL
15,188.2084877653583,182.93872504173476,SAI
16,263.5029689095525,265.61904709432713,COL
17,312.75237072284006,307.79605950839004,SAI
18,334.7543832205755,322.2798163037857,SAI
19,334.59119029960783,320.80864286545454,SAI
20,325.5792732717949,312.69981871310654,SAI
21,198.46384544333432,181.98997984607269,SAI
22,126.53190449124857,138.4165012207501,COL
23,180.59382110773743,186.24711243910235,COL
24,224.4392691781818,233.89924294624393,COL
25,,273.9916629333333,COL
