Minisector,VER,NOR,Fastest
0,300.60567100770976,298.6293348646191,VER
1,247.37159486081012,234.47191650126624,VER
2,180.33501486671074,191.6955827399571,NOR
3,261.2980016407499,263.0497393306183,NOR
4,217.2188811308706,207.61936823871412,VER
5,111.6404539033745,106.32662944026939,VER
6,173.54282509804713,167.79114210020282,VER
7,253.00631143733997,256.61955884102565,NOR
8,289.90548152087274,288.37636748279994,VER
9,308.1901664258093,304.45404367394383,VER
10,315.73519923440864,307.34275739064066,VER
11,212.70935042970174,209.25081460979317,VER
12,142.02709316173977,136.6876073395263,VER
13,253.3956714976549,252.16894347406642,VER
14,290.03898284424093,290.1340114088889,NOR
15,301.2126545619753,301.86161223973767,NOR
16,293.41154135965365,298.0706211541201,NOR
17,251.48173892948765,253.55820608410255,NOR
18,179.33043669719473,175.49461569331635,VER
19,179.11102153433967,168.49316662957784,VER
20,180.9918321187864,176.55761631767714,VER
21,239.85592459306667,239.51179608507937,VER
22,117.47965671226184,113.47244116613962,VER
23,192.82362910745516,199.81752041566503,NOR
24,274.59154452844945,276.8457999116402,NOR
25,290.775510156694,,VER
