Minisector,RIC,KVY,Fastest
0,291.00545153576536,299.59440810232144,KVY
1,300.4199544743764,317.87493704661654,KVY
2,305.6767838889357,327.22753560238846,KVY
3,300.3203323584606,325.7962728421053,KVY
4,203.4639485998577,186.1573735463978,RIC
5,224.0883009622081,227.259826834262,KVY
6,268.14756669482404,273.7405806119177,KVY
7,275.32123808431385,266.3660636289855,RIC
8,197.63206008553462,190.40706817851165,RIC
9,160.81485625416667,150.6426329302202,RIC
10,190.1335238854261,196.66029977679946,KVY
11,259.97758765714286,265.1611453408618,KVY
12,253.95866743466667,248.61525534444363,RIC
13,236.35104715721954,231.7591305668561,RIC
14,268.0141265289926,270.1649065010352,KVY
15,182.335993627564,171.4266757787494,RIC
16,224.94910605500283,228.5395056103963,KVY
17,249.5459237109975,247.36166774857142,RIC
18,141.1530990251596,138.34427316569207,RIC
19,241.2795379873016,248.25537908201557,KVY
20,279.39002565656784,287.3577647030303,KVY
21,260.25913638968785,249.89362754285716,RIC
22,150.63375598536115,146.75198947620925,RIC
23,215.20977277230028,221.54891513293475,KVY
24,271.12190864593987,277.0464218030728,KVY
25,284.3357129142857,,RIC
