Minisector,OCO,GAS,Fastest
0,292.8197994880576,291.16911889657916,OCO
1,304.0668686847619,302.48463241322634,OCO
2,309.8550068614617,309.18467787114844,OCO
3,304.51173197714286,299.4408383461587,OCO
4,163.64271688754434,163.6903141516199,GAS
5,197.64776819129392,203.36967372465793,GAS
6,233.54260680709203,233.78311194653298,GAS
7,265.7172895154765,263.18429630319696,OCO
8,253.15884588188064,256.361,GAS
9,158.94859532451957,158.91236408263754,OCO
10,219.47282747567098,218.96278950724638,OCO
11,122.84650028765229,130.3527298856819,GAS
12,223.35737644346764,224.9407238095238,GAS
13,175.45921548652709,179.18690916680154,GAS
14,209.91485598273016,203.08082251082251,OCO
15,238.66015375891132,230.38862005171313,OCO
16,261.81359594720135,258.20329166666664,OCO
17,283.011434957037,279.8721308584795,OCO
18,158.79221312790122,153.45787916005,OCO
19,159.40950659407872,160.57015691142223,GAS
20,134.55322516406954,138.023728836997,GAS
21,227.8008643200154,229.88608257457062,GAS
22,263.80629391056203,262.3241987096225,OCO
23,246.3729435008966,246.6288976778166,GAS
24,273.48474490074074,271.3666666666667,OCO
25,285.4166656,284.8812496,OCO
