Minisector,PER,GAS,Fastest
0,262.5988567749413,250.74836864378693,PER
1,129.76728897163713,131.520893735455,GAS
2,261.97198315402295,261.61106273103445,PER
3,310.2032612972448,305.0319773122184,PER
4,311.56887402539684,302.9668899111111,PER
5,321.63308721914,310.534647752381,PER
6,336.0154762467909,314.52430555555554,PER
7,342.2540953757006,308.8819443953813,PER
8,203.50408121081082,199.01142314886314,PER
9,187.77072718124063,191.15343493460688,GAS
10,185.93418451872245,182.09456480237012,PER
11,158.0698599332415,163.28392789640355,GAS
12,243.6354977809811,245.85460654037175,GAS
13,275.6376413442523,267.17342699764976,PER
14,273.07920185176107,272.2580088459031,PER
15,275.10372511604936,268.92585167891156,PER
16,182.35242867733606,180.14012034301072,PER
17,188.73475521417578,192.00438743709952,GAS
18,233.8895005455567,238.82908597135997,GAS
19,283.11423787748294,285.91789505641026,GAS
20,306.89031181392915,305.56649284444444,PER
21,315.44927540869566,312.38407131428573,PER
22,310.92078366349205,305.0201481930101,PER
23,256.47449949896094,258.8753079224959,GAS
24,115.95551111066032,112.24645754563787,PER
