Minisector,LEC,GAS,Fastest
0,261.25944484935326,250.74836864378693,LEC
1,136.96930591738519,131.520893735455,LEC
2,266.78139965170067,261.61106273103445,LEC
3,311.1791717995604,305.0319773122184,LEC
4,308.6541505227278,302.9668899111111,LEC
5,315.6074017391304,310.534647752381,LEC
6,321.35425358888887,314.52430555555554,LEC
7,320.9215578898551,308.8819443953813,LEC
8,212.16491569273077,199.01142314886314,LEC
9,195.69672506658935,191.15343493460688,LEC
10,194.48099857243108,178.69985633714361,LEC
11,165.287694849806,166.5246609970794,GAS
12,252.45121281845715,248.4371067359273,LEC
13,277.05824167032966,266.89390653328013,LEC
14,281.5925929876543,272.2580088459031,LEC
15,284.7977043162094,268.92585167891156,LEC
16,189.11237577458195,180.14012034301072,LEC
17,194.2130743572997,192.07927775117204,LEC
18,240.2565844313331,240.24292745430708,LEC
19,288.2377145478095,285.91789505641026,LEC
20,311.36799748591426,305.78383313066666,LEC
21,319.7119877067362,312.44174095238094,LEC
22,317.85368735877495,305.0201481930101,LEC
23,272.98152410864196,249.53738498556066,LEC
24,116.90216418679007,112.18736239393905,LEC
