Minisector,HAM,ALB,Fastest
0,293.51901485104764,296.6048723160503,ALB
1,219.47775928562356,213.8346420580499,HAM
2,230.49535368806679,226.70146229242835,HAM
3,274.214720291542,274.0897377491153,HAM
4,248.43452720958155,239.93670138758094,HAM
5,127.70006109745242,126.55862018278359,HAM
6,210.6823151666058,207.65787900376571,HAM
7,256.4225438645063,253.1198812612472,HAM
8,245.28415768911148,232.61596482653397,HAM
9,233.91914271024763,227.90263894201973,HAM
10,273.4077709206349,271.99120802321994,HAM
11,292.7288322818471,292.5179398679494,HAM
12,301.9382331555555,304.7613931088254,ALB
13,306.6216618969697,310.8597511296494,ALB
14,301.15473025254903,306.6669245710812,ALB
15,254.65214162692064,249.09482226814157,HAM
16,243.05536007486543,232.73316739199998,HAM
17,277.1314758664662,275.7795371167457,HAM
18,285.3997894252819,288.32420991788524,ALB
19,160.7392265360581,145.42587332304626,HAM
20,209.5854820867577,206.41537624373603,HAM
21,189.0313772127961,174.18637825381563,HAM
22,136.27991038281144,141.76342333021424,ALB
23,229.1800849610921,237.84085740495863,ALB
24,276.9679835363265,280.19172583298246,ALB
