Minisector,TSU,HAD,Fastest
0,289.9369453657143,297.79263271771094,HAD
1,163.5627567217516,160.36217993343635,TSU
2,156.13202498388694,161.58417593044987,HAD
3,238.4047651879243,225.94735323694363,TSU
4,289.7388644920029,285.81825390732695,TSU
5,282.70816413671844,296.61511375254366,HAD
6,146.17556166077952,148.51068744268898,HAD
7,136.61396861057756,133.51286616568098,TSU
8,143.44280990553943,141.01085011118397,TSU
9,198.14140407823518,181.88016345576818,TSU
10,132.87992137306952,134.65752062908166,HAD
11,125.48291217874728,131.35181896169672,HAD
12,175.74524786515795,160.234791928222,TSU
13,271.4909746380315,265.5894212413135,TSU
14,292.9096781708558,292.42195097278045,TSU
15,147.99271101383334,149.83353144669297,HAD
16,199.37815545473615,212.98420821062695,HAD
17,171.2911381361303,168.76959428947833,TSU
18,273.1863257575758,267.51333997161265,TSU
19,297.2773097957758,295.07012493957313,TSU
20,312.18683980129174,309.5903069202146,TSU
21,320.837704478647,318.01123464225,TSU
22,326.2018317844862,322.10071313916495,TSU
23,335.0013496497751,325.62422461353384,TSU
24,340.6075786723122,321.94538341370315,TSU
25,342.51371578395657,316.21338933197944,TSU
