Minisector,BOT,PER,Fastest
0,305.20818104280613,293.7376369628981,BOT
1,319.9743574745206,306.6386588310777,BOT
2,288.8529311547524,287.3397515502363,BOT
3,114.96432596379833,110.62432458154619,BOT
4,226.31442851607756,226.42674792949617,PER
5,274.825,268.98778846467445,BOT
6,226.21311012086238,211.00711320253487,BOT
7,167.2470763966651,164.0403601444683,BOT
8,202.4757597878165,189.6313653392181,BOT
9,220.12244199947762,211.29379814017133,BOT
10,115.14229539599239,112.77683272108581,BOT
11,228.8800478475381,229.2407771241255,PER
12,116.3751729082292,110.74575277110421,BOT
13,223.702617459225,220.39618436478986,BOT
14,272.2925423897226,271.40732177513314,BOT
15,227.93538339704224,213.70924786096865,BOT
16,198.72293486180462,202.78544094275264,PER
17,254.69520097578567,254.57329541818183,BOT
18,209.12955991544368,205.7945181007972,BOT
19,184.18931580678682,178.33854633386764,BOT
20,269.02284562963746,267.9493681712813,BOT
21,294.5531954689212,294.2756846171429,BOT
22,160.69227826172366,162.68194545175905,PER
23,208.53103046663168,204.5103118350037,BOT
24,272.98798712477515,273.6064456737519,PER
25,286.37916693333335,,BOT
