Minisector,MAG,GRO,Fastest
0,281.9173811657143,286.6736110814815,GRO
1,290.57382574298776,296.89832904558756,GRO
2,293.38445382633057,300.48869045602237,GRO
3,292.2379902117647,302.07942833333334,GRO
4,179.5689500743776,167.03393264201134,MAG
5,214.89254669648034,210.7480209201175,MAG
6,246.183875168,245.44166677333334,MAG
7,265.7535715689223,265.15153487719294,MAG
8,265.2649129543859,266.7145986325815,GRO
9,169.17517504435398,168.4215454680727,MAG
10,231.64124284081632,232.81420412121213,GRO
11,139.27182407162925,139.58802083890393,GRO
12,222.2769317106188,221.60037881212122,MAG
13,200.30401189135804,198.688499712,MAG
14,218.26936428148238,211.26758412698413,MAG
15,252.58806540190477,252.75958325333332,GRO
16,262.76568235216814,263.72322021130685,GRO
17,279.97661997037034,282.40126049523815,GRO
18,134.28451292571364,136.1355622753439,GRO
19,162.92755257019968,157.23277907061234,MAG
20,147.28326776708334,147.86325294341736,GRO
21,173.24805451047203,172.09876822742825,MAG
22,117.53551697777777,117.64942491708737,GRO
23,218.90687417850668,223.33333398260868,GRO
24,263.8803830763648,266.2581021375661,GRO
25,276.15,279.1293539118341,GRO
