Minisector,NOR,ALO,Fastest
0,292.4475,314.99237633949963,ALO
1,289.36646836825395,321.7985291921569,ALO
2,278.27599212698414,319.5943123386244,ALO
3,228.72056700524047,232.5354461591084,ALO
4,231.97238142171426,232.69626212571427,ALO
5,112.65966127644866,114.76774099965452,ALO
6,224.05385726419752,214.36000916095247,NOR
7,273.182168530656,266.83406740194744,NOR
8,233.5036923062857,237.89097519999999,ALO
9,116.222283946683,114.92714588015973,NOR
10,238.88315915555555,232.73698413244932,NOR
11,252.5389649742443,256.4068844521739,ALO
12,135.96538073391403,135.1426853347696,NOR
13,215.56554400000002,211.68017897425045,NOR
14,266.7621210666667,270.68714878730907,ALO
15,229.5648144847253,224.15677887765565,NOR
16,157.37186477798983,158.52027007830688,ALO
17,236.91842357639075,242.9295130666667,ALO
18,125.67068941544818,124.08993291978321,NOR
19,143.66392305133564,142.67052201727742,NOR
20,185.40991332316577,186.61424550537632,ALO
21,257.50634017391303,258.7310649324263,ALO
22,274.95876266080165,275.973912857971,ALO
23,279.3869896707483,282.8914470736842,ALO
24,289.0837796571428,293.35535693216457,ALO
25,292.9458336,,NOR
