Minisector,VER,ANT,Fastest
0,266.4518452005442,270.11808700739044,ANT
1,284.84101377244446,288.2040345099112,ANT
2,287.87432963428574,295.68827050047616,ANT
3,131.03556462222224,124.95537167786398,VER
4,193.57474427841413,192.8022843710446,VER
5,255.37992266020203,255.5144952412389,ANT
6,146.44581834529038,141.3394355863524,VER
7,207.45790098451343,207.12289991463143,VER
8,257.59847475399124,257.1720493092064,VER
9,278.84753654095243,279.2260314774649,ANT
10,243.7602890557823,234.9025117603183,VER
11,185.81552841166445,178.95065005546067,VER
12,204.13665956613272,191.44463010977148,VER
13,146.49106740429636,139.75912795724867,VER
14,176.84811062302487,174.0255454784699,VER
15,166.27673774734595,160.8226882524872,VER
16,221.11471255682244,218.46416553113428,VER
17,241.6876459993651,236.22912334158065,VER
18,245.39211727849928,241.26441094593363,VER
19,242.62362055064935,232.12518598845534,VER
20,147.19248457134665,146.21289912027268,VER
21,138.50503576734766,131.41110579056297,VER
22,171.20654645026818,172.27452868927568,ANT
23,157.60586785907984,152.31704681044047,VER
24,229.9828597873278,230.05162248971618,ANT
