Minisector,NOR,STR,Fastest
0,269.5695435110586,266.8559150733933,NOR
1,244.6706820853359,272.019241131815,STR
2,110.65441320491455,121.10702148286849,STR
3,175.65237723214287,152.5325536876103,NOR
4,178.53560793814816,186.90503112445597,STR
5,208.54007777777778,192.94725231785543,NOR
6,265.76987485551535,264.59579616230883,NOR
7,283.0031216931217,283.7567316855411,STR
8,179.70925290338474,195.6034722002721,STR
9,132.43808583545118,133.4063364563285,STR
10,125.96333100325968,115.84775022396353,NOR
11,175.87980736402596,170.90626781159787,NOR
12,224.90245734223515,226.2681717152243,STR
13,126.24142657531323,128.40812210407393,STR
14,139.74480794644606,153.35321635341336,STR
15,125.50440960392841,109.17533446959001,NOR
16,247.50687138637545,240.4250596017316,NOR
17,140.57056822695873,167.86800641488225,STR
18,194.0694019375796,167.4101498057143,NOR
19,122.1083377125035,137.91835102864584,STR
20,127.93715552704184,129.4472920318574,STR
21,118.39980654695718,111.85840396766933,NOR
22,137.59142682479487,126.73855690699351,NOR
23,206.3254023504193,214.95645486974357,STR
24,231.18044001944014,210.72438185530729,NOR
25,,250.97619047619048,STR
