Minisector,ANT,SAI,Fastest
0,283.09225110926405,282.2477449272381,ANT
1,302.2487745246753,293.8005407307359,ANT
2,239.97642688321832,236.39467763153053,ANT
3,118.30602383264821,112.23068795537795,ANT
4,130.84615180496593,132.14456888759935,SAI
5,249.33761262960954,251.0287760886857,SAI
6,270.7949410660652,246.70099462768576,ANT
7,125.33102862080831,128.4129224066721,SAI
8,241.64152218884436,248.41054931857707,SAI
9,253.83228008527473,263.6752064559726,SAI
10,209.27974815940468,204.0359038899471,ANT
11,138.84256664211145,138.49902963202555,ANT
12,204.694767180085,212.10372462154393,SAI
13,268.1422737423894,254.7269603657143,ANT
14,121.52533919020293,116.25074369883983,ANT
15,193.35075592628084,198.53009060218778,SAI
16,261.59326681904764,263.4502678199034,SAI
17,292.2108733483749,290.62334112614235,ANT
18,306.4285402402005,303.57345295285955,ANT
19,312.3901304639488,309.77069454222226,ANT
20,315.51449656,308.3518670491165,ANT
21,159.09373500367386,149.62250066628647,ANT
22,145.32005749867247,162.74657095485637,SAI
23,206.8438318609184,205.20896556719933,ANT
24,241.38476416419763,239.9974963777778,ANT
25,269.5416693333333,,ANT
