Minisector,LEC,HUL,Fastest
0,282.89616201145134,287.39059572571426,HUL
1,225.0196896121905,218.46894556227238,LEC
2,112.96005787010789,113.83454561697941,HUL
3,203.4426747604396,201.47700705185184,LEC
4,175.22314881173043,166.62248038433864,LEC
5,226.6729352626087,229.97648858412697,HUL
6,280.91931316494805,293.3752631456996,HUL
7,296.3399141502645,315.998326,HUL
8,170.58416674370372,169.1259998866935,LEC
9,124.69237088349608,121.37036663212899,LEC
10,135.82114998663783,136.51504701562703,HUL
11,197.80151183004097,203.42888363228687,HUL
12,213.2996434140007,205.96952127732055,LEC
13,130.56868998706926,131.61338672124728,HUL
14,146.69977601635665,138.5657258600481,LEC
15,128.803929305831,139.1169393813556,HUL
16,256.17859352,270.3962497066667,HUL
17,143.28660864860728,128.6601906583043,LEC
18,210.38191391648354,211.6745107437782,HUL
19,133.87238571154634,124.9572248868496,LEC
20,148.87303717065637,143.35656725479188,LEC
21,126.75294579820229,125.47701562451554,LEC
22,155.90821524424783,156.75782651814725,HUL
23,224.7355825756347,217.94947832525023,LEC
24,242.33055547936505,241.37428589714287,LEC
25,268.7875008,,LEC
