Minisector,RIC,NOR,Fastest
0,259.6007450732198,258.8895855014548,RIC
1,134.24075709410226,129.01754626147994,RIC
2,266.68817613063936,268.6667824289745,NOR
3,308.55227448163265,309.58022944761905,NOR
4,307.11320810506777,305.8675807836735,RIC
5,314.7969135407407,314.69258074013607,RIC
6,320.3854356290268,319.90506720817564,RIC
7,319.0748845233057,315.01962170340136,RIC
8,199.33611779346631,193.83090686149777,RIC
9,200.24596849475682,199.34051964451842,RIC
10,182.84994605622103,172.6875422687321,RIC
11,167.99915695125796,167.8416185162725,RIC
12,254.0691193950655,255.33604445648618,NOR
13,274.19363372235085,280.411195557146,NOR
14,277.1569958000481,286.9787653310521,NOR
15,272.3061206187657,266.1361180300008,RIC
16,189.93786569476592,183.14230674203858,RIC
17,196.53783074231535,190.9758933754118,RIC
18,246.23616130372966,246.60032645042415,NOR
19,290.8038192266667,292.5865343013665,NOR
20,313.4222731241308,312.6041665580247,RIC
21,320.3441358222222,320.6875220656085,NOR
22,317.99352746080876,314.32529763809526,RIC
23,264.6329544219336,229.20723876601232,RIC
24,116.19031692346978,113.94777772776261,RIC
