Minisector,HAM,PER,Fastest
0,233.4211136098328,236.89905782365594,PER
1,286.2251146842491,284.91580100351416,HAM
2,302.2924815688801,300.6941551639398,HAM
3,310.06509746147185,307.35436057520894,HAM
4,267.4001627548874,262.13631315538254,HAM
5,168.11673289961513,169.01668160464112,PER
6,262.04606341313126,263.8902772938272,PER
7,275.41585719466667,283.1298076893773,PER
8,213.30352548030731,208.39908274938776,HAM
9,223.3174250989899,221.29166213022455,HAM
10,181.61203330435453,179.29518095222025,HAM
11,225.2570519425089,227.47281690956606,PER
12,202.352527931684,202.60581316184604,PER
13,209.14623852290902,207.46750093714286,HAM
14,221.2287953809524,223.13719246901934,PER
15,180.2114919751905,175.1579848063426,HAM
16,250.210844682136,248.88563720706262,HAM
17,291.10835740038095,289.1306873779582,HAM
18,306.00923923478257,302.32191052628684,HAM
19,282.5797818498042,284.81437083076923,PER
20,130.04995705304665,127.53679131458013,HAM
21,156.90491907932588,157.5310743629729,PER
22,151.89383887629916,154.96218169075686,PER
23,199.48892672695592,197.78133739590342,HAM
24,145.58247404614593,149.08478123594506,PER
