Minisector,ANT,STR,Fastest
0,283.09225110926405,279.4016809534923,ANT
1,302.2487745246753,297.0270973659344,ANT
2,239.97642688321832,233.52108045206347,ANT
3,118.30602383264821,119.76315061967543,STR
4,130.84615180496593,133.32308515255613,STR
5,249.33761262960954,248.46314213486554,ANT
6,270.7949410660652,257.7950464710524,ANT
7,125.33102862080831,124.51684700311479,ANT
8,241.64152218884436,244.0933496176722,STR
9,253.83228008527473,239.25313985743585,ANT
10,209.27974815940468,201.92201910795907,ANT
11,138.84256664211145,146.5291424027781,STR
12,204.694767180085,207.39566195137064,STR
13,268.1422737423894,261.86258025210753,ANT
14,121.52533919020293,118.25242324531932,ANT
15,193.35075592628084,192.8230976872673,ANT
16,261.59326681904764,261.27855842888886,ANT
17,292.2108733483749,293.5873647186147,STR
18,306.4285402402005,309.92948524668265,STR
19,312.3901304639488,323.9207570309467,STR
20,315.51449656,332.7889880952381,STR
21,159.09373500367386,152.0710667091533,ANT
22,145.32005749867247,163.09822372636378,STR
23,206.8438318609184,200.8853528911565,ANT
24,241.38476416419763,240.3022272041189,ANT
25,269.5416693333333,,ANT
