Minisector,PIA,HUL,Fastest
0,275.97321160620726,276.53304072982456,HUL
1,304.12584496975654,303.7305241866667,PIA
2,315.8260490741259,316.19989972644385,HUL
3,323.200879762963,324.08904394666666,HUL
4,325.9721702912045,328.0,HUL
5,327.29325740929295,329.30705240584973,HUL
6,221.0071858395952,209.8640271968254,PIA
7,108.93695096437114,104.81541165620828,PIA
8,183.7480905700141,185.0552618642855,HUL
9,263.01447854732027,262.61722009493764,PIA
10,291.6527240987655,293.1493703020078,HUL
11,165.00026767918052,167.6020989411254,HUL
12,97.77336338387786,99.0711096262563,HUL
13,116.65161704483656,112.90537233531559,PIA
14,223.39415461906663,223.79463756210723,HUL
15,200.5400769740527,190.35464028361727,PIA
16,233.2756978117084,231.51627436933123,PIA
17,189.55333666323568,180.43717385677445,PIA
18,241.12734594747744,237.9636797231746,PIA
19,276.9524632414815,278.3547779851852,HUL
20,250.6265463023043,264.95064447641454,HUL
21,149.47680594552583,149.80550395428287,HUL
22,98.7347061660299,98.3907426948184,PIA
23,124.80962564777,123.31126850692083,PIA
24,224.92269768394905,217.58735817094484,PIA
25,257.9500032,260.0,HUL
