Minisector,RUS,PIA,Fastest
0,274.4175734002771,275.97321160620726,PIA
1,299.99561152,304.12584496975654,PIA
2,314.0067768420024,315.8260490741259,PIA
3,321.5780991866667,323.200879762963,PIA
4,325.6182603870145,325.9721702912045,PIA
5,326.4418807791746,327.29325740929295,PIA
6,209.09241370020496,221.0071858395952,PIA
7,104.5253684922172,108.93695096437114,PIA
8,193.70562654507142,186.2719776886564,RUS
9,261.03495857296576,264.13116192882205,PIA
10,290.18512670102535,291.6527240987655,PIA
11,171.3028988520118,165.00026767918052,RUS
12,97.01942422779399,97.77336338387786,PIA
13,114.16241650560228,116.65161704483656,PIA
14,217.5892235826087,223.39415461906663,PIA
15,192.07765713199834,200.5400769740527,PIA
16,228.09489792581817,233.2756978117084,PIA
17,185.03395352808857,189.55333666323568,PIA
18,236.544711545034,241.12734594747744,PIA
19,276.5178429028571,277.7447201174603,PIA
20,248.8452067204637,248.45976702703553,RUS
21,149.4824952083117,148.73378532553153,RUS
22,99.49522754150372,98.15198573670358,RUS
23,128.4106183752034,126.4867192997764,RUS
24,226.64131081142858,228.08639360047076,PIA
