Minisector,PER,OCO,Fastest
0,264.3578407137948,259.68195693524035,PER
1,249.18256434567903,239.2350978503401,PER
2,167.1611354211795,159.31001238498462,PER
3,247.49314199161904,245.22547953813702,PER
4,272.2218410524791,268.56983327085715,PER
5,196.46068105770308,186.18690517333334,PER
6,122.56149049938756,121.09792780883846,PER
7,160.32711253853657,153.39265866666668,PER
8,258.01252978649603,253.25432642461539,PER
9,176.01897047017542,178.57785111578949,OCO
10,185.3881872980213,175.45593605774434,PER
11,259.2684995413333,252.40966660266665,PER
12,249.8489401914779,233.65728086123275,PER
13,257.4711305377289,255.94743577435898,PER
14,284.0690520950964,283.3303046062374,PER
15,285.1790388935818,283.8445652405797,PER
16,150.78570367976567,144.0570126007371,PER
17,239.0538678095238,232.79654173272655,PER
18,284.71642824986293,280.379835832824,PER
19,296.99829541818184,295.41739130434786,PER
20,300.53219684848483,298.8440901108295,PER
21,304.9866539877672,299.2295454545455,PER
22,154.48797544977646,160.08246266770092,OCO
23,92.28786225014181,91.76083157210908,PER
24,180.45333113904763,169.75268122326506,PER
25,246.791664,240.96428799999998,PER
