Minisector,LEC,ALB,Fastest
0,267.2907635039946,265.25932472218074,LEC
1,298.36537701948964,293.6613882107937,LEC
2,313.453189170068,307.7710453877551,LEC
3,322.3552618096929,315.5702775466667,LEC
4,327.9624390116233,319.96805546666667,LEC
5,330.8773384272109,322.5065475809524,LEC
6,272.6520794074074,273.3597258666666,ALB
7,115.99221433355702,115.08473859923048,LEC
8,156.69574220949931,157.25446975046603,ALB
9,255.1919002666667,251.7669097411765,LEC
10,292.1062506,287.99838844016404,LEC
11,246.3265340262782,230.0832692221662,LEC
12,94.4546058843215,95.5354159780589,ALB
13,113.59400389128919,112.58287475826162,LEC
14,219.79264565982515,217.01816769160996,LEC
15,190.73599906133336,191.49478474167617,ALB
16,219.9553809606643,225.3277479351636,ALB
17,195.37088217777776,192.05342901028573,LEC
18,223.332768816809,224.80200147825025,ALB
19,274.2870377481482,272.4233826169079,LEC
20,289.94944312888884,283.0882365490196,LEC
21,161.1359666839714,157.84019668397528,LEC
22,101.88767712498209,101.3281002960671,LEC
23,122.88070264225203,125.29674893214215,ALB
24,207.28962290202236,211.75969437835593,ALB
25,246.6625024,,LEC
