Minisector,LEC,HAD,Fastest
0,290.3844357527841,295.6410336769144,HAD
1,144.64473335025906,150.74709749845135,HAD
2,227.21093906532468,223.04765974859828,LEC
3,285.8270212795601,282.3652539579677,LEC
4,323.9042345084807,311.32239555555554,LEC
5,309.9279657212121,301.40944999382083,LEC
6,150.06175224990093,151.829721323881,HAD
7,245.89711528463306,245.56136948836095,LEC
8,108.934485176865,115.5882191298524,HAD
9,174.08665910164376,169.23994197653914,LEC
10,278.97860224444446,270.33800731333366,LEC
11,301.48736281998936,301.04614347962104,LEC
12,204.44467097791082,211.39576597099406,HAD
13,172.59350037191734,169.49097497605305,LEC
14,281.3932369748623,280.1830467383873,LEC
15,312.6948468256992,312.9089250852465,HAD
16,327.76952377720056,326.88052936471894,LEC
17,337.18636162590474,334.11213223529415,LEC
18,349.34803939047623,336.61175594285714,LEC
19,351.0091911529412,334.46494000788,LEC
20,196.36895327780024,191.73269900482876,LEC
21,181.97314808127905,170.25290842050217,LEC
22,280.6893180360741,277.959319301583,LEC
23,313.6434757879042,312.86910872622826,LEC
24,324.3926438372063,319.27496262368,LEC
25,,316.0,HAD
