Minisector,LEC,HUL,Fastest
0,302.9067644844942,303.34321726402555,HUL
1,239.8169986001867,240.49325536880914,HUL
2,132.78672032734076,128.8503809711722,LEC
3,237.67911572898635,239.9076745714224,HUL
4,195.266560338831,189.73782079766428,LEC
5,245.15857115245822,245.90991518210623,HUL
6,233.9853719460616,230.36656592637985,LEC
7,257.9298322827862,253.484606441693,LEC
8,293.0804806929381,290.1567558945582,LEC
9,204.0264164982146,210.99497770538045,HUL
10,210.66055894863788,206.31927032350941,LEC
11,276.9426255312842,274.54025651713204,LEC
12,214.30604636607654,214.97724957802473,HUL
13,255.311126984127,250.0686128356128,LEC
14,293.3960408584127,291.5088435252623,LEC
15,315.78112193362193,306.7775571106629,LEC
16,324.2403736865801,307.45451406926406,LEC
17,215.94250102951594,212.8387227922106,LEC
18,262.27138598857965,261.7442665882712,LEC
19,293.0420192615385,294.19836448848486,HUL
20,306.75241916836944,308.8621088435374,HUL
21,311.8580246644712,311.18968668380637,LEC
22,157.07716400565457,154.23292920225074,LEC
23,235.27755707541448,233.17174898387302,LEC
24,279.8607446323451,285.10119076952384,HUL
25,287.2499986285714,297.37500032,HUL
