Minisector,PER,RIC,Fastest
0,269.7806255418256,271.43541223098913,RIC
1,300.07371066666667,298.1121874666667,PER
2,321.06149357564425,309.3119615704615,PER
3,333.0429398192092,319.38589225589226,PER
4,340.8208547938462,324.494022269697,PER
5,345.73781244571427,327.1218333155556,PER
6,221.3726120810729,193.71026682687747,PER
7,102.62560044316633,106.03509088396694,RIC
8,179.73868287647963,182.11812388662005,RIC
9,260.2964750723597,257.64200677894735,PER
10,297.23272686545454,288.9251035813485,PER
11,169.19537045532851,159.25223746859837,PER
12,95.4422718168413,98.31252657230266,RIC
13,109.95170995713198,114.30623740884407,RIC
14,215.325688696,216.31040129624554,RIC
15,181.18711699807778,181.16659650174842,PER
16,219.33758023659908,212.17471196432902,PER
17,169.2873116961134,175.15887642050373,RIC
18,224.5839877523221,234.84300142516292,RIC
19,274.102151648254,277.5739428727847,RIC
20,239.55021434052802,250.25669951936686,RIC
21,145.11986366350047,146.19458346034892,RIC
22,94.25943294408506,95.32355829830523,RIC
23,118.99136039796397,123.02397037017467,RIC
24,220.95803802222864,216.09494725726327,PER
25,253.1,254.58125,RIC
