Minisector,HAM,TSU,Fastest
0,269.16840511154084,265.66124965333336,HAM
1,290.9562406520301,286.0154135627052,HAM
2,293.48869756564795,287.92655344858554,HAM
3,123.34380866018894,121.18403887212425,HAM
4,189.78634536093088,183.13300750567618,HAM
5,252.13519425777775,249.48111284506714,HAM
6,137.49329485259184,134.70089343027882,HAM
7,204.26793955192747,194.3089794662825,HAM
8,257.6761849619753,252.54089131154743,HAM
9,281.8424574106164,276.31556051649125,HAM
10,232.3810936632847,227.05152072526533,HAM
11,174.72751534370724,176.72136319612986,TSU
12,189.90513385752942,179.0037923713117,HAM
13,140.51331720589346,141.8230380041762,TSU
14,174.42407827716673,168.43715092519435,HAM
15,158.76293083520045,156.93491362268833,HAM
16,215.20923107740262,211.30448040347684,HAM
17,228.21326722010855,229.43954054061916,TSU
18,234.32625022803848,230.48188295508487,HAM
19,236.72241345890512,240.9451850258701,TSU
20,143.2049027427787,140.88016660915991,HAM
21,130.00048391462755,134.23589160000597,TSU
22,164.04450452622223,162.00545531273323,HAM
23,150.2350676625591,142.9350709120967,HAM
24,223.0889970438277,219.1571533085412,HAM
25,,251.05219070707156,TSU
