Minisector,HAM,ALB,Fastest
0,292.118055415873,305.7092547380755,ALB
1,300.0451885132974,321.72526459732023,ALB
2,280.2922841624844,297.19831534475304,ALB
3,117.72121391652736,105.41442728412036,HAM
4,226.53088996104276,225.6784976263282,HAM
5,267.9542513268958,281.2609733320941,ALB
6,220.62622820625197,214.95192659940773,HAM
7,164.58477517288617,157.548656548246,HAM
8,206.90576745278324,191.05087358798124,HAM
9,211.93587947866922,203.0081310284892,HAM
10,116.2659108816873,110.08106871502285,HAM
11,229.8975036723936,224.18602592610418,HAM
12,116.89179663214999,117.85441340069752,ALB
13,227.94036340321426,221.74372650993521,HAM
14,283.8446377232491,270.9552349761548,HAM
15,229.08564587547764,211.7413142421176,HAM
16,200.88161914354797,195.33523326040458,HAM
17,255.37403542420142,247.91856801872223,HAM
18,217.8943598650992,201.26832777117613,HAM
19,182.09700453741928,185.09376995800602,ALB
20,267.2816175765393,268.95477202309576,ALB
21,294.9237767863779,294.87655440426647,HAM
22,164.8495298194041,160.2573721629223,HAM
23,213.0535199737551,205.053782275217,HAM
24,280.32815669800425,269.77509998114476,HAM
25,,284.1250005333333,ALB
