Minisector,OCO,VET,Fastest
0,111.75846763967861,175.53353112380952,VET
1,138.82361111111112,232.51106626673118,VET
2,138.79244638067877,271.6936345111853,VET
3,164.41043543301453,292.95909032727275,VET
4,133.30147424213953,309.4909086545454,VET
5,145.43528944604503,314.67466543292875,VET
6,165.73250000000002,207.38146189389602,VET
7,179.01088049206763,139.22683272533334,OCO
8,144.1418553764172,213.09464488295856,VET
9,155.62957961462152,263.0392380014652,VET
10,137.0657358809524,288.17198803298265,VET
11,134.36295441482508,301.3053025939394,VET
12,160.69932508880697,310.8594693818182,VET
13,134.36260270977107,316.7371425980952,VET
14,161.44450078232006,302.97894104831806,VET
15,170.15366226285715,118.84399600503612,OCO
16,158.84374894545454,101.56916890539203,OCO
17,147.61878822287045,209.49311516190477,VET
18,76.66888071587522,262.45801148717953,VET
19,124.11586284402993,292.3238624,VET
20,160.73448695536615,305.6981177818428,VET
21,122.7094388339324,315.007474078062,VET
22,177.49394915354364,244.5669496888889,VET
23,164.46066418394486,101.94865047142353,OCO
24,129.65847360937212,169.67557086210172,VET
25,,235.30714194285716,VET
26,,261.9379115018315,VET
27,,214.31287372115574,VET
28,,158.6597222095238,VET
29,,208.05182073333333,VET
30,,221.56499391265197,VET
31,,189.4306373019608,VET
32,,228.60743985930262,VET
33,,255.68910194871793,VET
34,,275.74921019481843,VET
35,,286.7431772835165,VET
36,,294.3714016,VET
37,,249.5044675809524,VET
38,,212.34166655999996,VET
