Minisector,KVY,HUL,Fastest
0,255.3038784933948,257.6965282573545,HUL
1,134.52957766704975,134.4453235510204,KVY
2,265.13593138798973,266.2716490269624,HUL
3,309.2301090603175,308.7768760496894,KVY
4,307.48578066224974,308.7513128237881,HUL
5,314.00431155942033,316.64422115555556,HUL
6,318.88300003352384,321.848462215873,HUL
7,317.6104707532468,317.4505517513225,KVY
8,207.24403858320136,207.04428065957984,KVY
9,193.62330440256156,191.54166555428571,KVY
10,191.45601151238094,187.55994988476192,KVY
11,163.40044063111517,165.34859253085222,HUL
12,242.95112704165535,248.06529405957448,HUL
13,269.92808588641975,269.60654834285714,KVY
14,272.338479612284,275.37574987373887,HUL
15,274.56733381388796,273.5873528181576,KVY
16,186.4420384673016,183.15537120761905,KVY
17,194.25944029489474,192.88052454603175,KVY
18,237.7374121976217,238.89605208142078,HUL
19,286.6504811897436,283.734744081717,KVY
20,309.6397409355852,307.2471067897683,KVY
21,319.1092013968254,316.5512090586654,KVY
22,317.3866829734964,312.0787010583851,KVY
23,270.57286513553737,265.52939549950736,KVY
24,114.10258201118224,114.08887245729024,KVY
25,230.06071222857142,229.6333312,KVY
