Minisector,HAM,OCO,Fastest
0,276.7874121821167,273.66622530934745,HAM
1,293.6143308901935,291.9568096082822,HAM
2,288.2825223671014,288.64678577980953,OCO
3,190.66045455628816,183.52684656281286,HAM
4,129.18489883835983,126.10222864809231,HAM
5,238.48184603253685,237.41207771809522,HAM
6,284.6258660114214,279.7487182066989,HAM
7,293.68266666666665,286.56500027733335,HAM
8,183.6911530533063,180.68027803090297,HAM
9,150.62028479093996,146.16131728865196,HAM
10,253.41378073732844,249.76795928275862,HAM
11,289.3744283153148,281.86488526652954,HAM
12,303.07968033649655,288.2254763702857,HAM
13,282.41316672,272.4458331259259,HAM
14,299.8137859474285,294.88268825396824,HAM
15,302.4310515873016,295.42983362438093,HAM
16,265.49605896830496,250.76611312446636,HAM
17,232.44261834622353,228.8664180144451,HAM
18,283.8303337386667,279.6448027604396,HAM
19,308.1063323076823,300.9720485777778,HAM
20,310.0295072562913,301.59383120592594,HAM
21,237.7339868677994,229.90762666190477,HAM
22,262.6525512272109,254.71241076717476,HAM
23,140.25271758231466,139.46909530374978,HAM
24,214.85451497095292,217.0302922504807,OCO
