Minisector,ALO,RUS,Fastest
0,282.18631590232593,280.62195599050494,ALO
1,297.0589490836364,295.5902950109519,ALO
2,298.47161277423993,289.2019283324445,ALO
3,177.61957867059732,177.43044641196624,ALO
4,222.66220971594012,223.9477781026274,RUS
5,204.5413549015231,203.73380179676954,ALO
6,179.2010976650864,179.5527762356524,RUS
7,211.67803335336464,207.35540080299032,ALO
8,258.0583249601467,258.3450771425641,RUS
9,270.75780929041974,264.247557434822,ALO
10,167.8085089680259,167.82666040895901,RUS
11,239.98823413238293,238.1514649741339,ALO
12,117.91005000314208,119.80906476689395,RUS
13,220.7814839590148,218.93474796433404,ALO
14,277.21309660428847,274.4138256349681,ALO
15,293.9441317031884,292.3362498618182,ALO
16,213.98994506853998,215.9493779100936,RUS
17,182.58564115153513,184.57266936639436,RUS
18,266.04025281320986,267.3195951840363,RUS
19,292.5053353703896,289.38910684675324,ALO
20,302.3859483829405,300.7438257477318,ALO
21,302.47864572221613,300.21246186690854,ALO
22,272.5695769280323,280.26916733201926,RUS
23,114.85681717275077,117.52829802513479,RUS
24,234.57466396455075,237.91393664639298,RUS
25,,266.7553554285714,RUS
