Minisector,PIA,NOR,Fastest
0,290.4676541915344,292.72171665864107,NOR
1,303.5136298389318,304.71690417430244,NOR
2,304.98699999999997,305.9582427134499,NOR
3,191.09633881345218,189.24847954955703,PIA
4,207.36876778740708,209.18699232897802,NOR
5,207.38472556088848,203.85310341879352,PIA
6,264.2928072931554,263.93459434589187,PIA
7,252.39560721450772,249.16905677655677,PIA
8,208.49987941094653,206.44927834017597,PIA
9,202.47302958917135,202.4457509617242,PIA
10,148.82783855994504,145.81202496668988,PIA
11,200.48484263274116,198.19108567783053,PIA
12,183.9202676935359,181.40592821824066,PIA
13,246.48518771486295,247.10212906759904,NOR
14,174.51216230219558,173.09318607984838,PIA
15,231.73921358535628,238.04087352002952,NOR
16,273.8650139215119,275.8426535588933,NOR
17,277.98063749123537,278.80296731314286,NOR
18,269.93686074178635,272.63638879921393,NOR
19,258.1321155231746,260.3255424360173,NOR
20,257.7389287107483,261.30020497334294,NOR
21,257.73142154064124,264.8646521890348,NOR
22,224.12866846824514,213.85360131275328,PIA
23,200.05886635706227,206.08922188390525,NOR
24,267.88048306684806,270.91680888943404,NOR
