Minisector,RUS,ANT,Fastest
0,281.42370998973036,283.9924274007686,ANT
1,122.0071877828362,121.40575524501632,RUS
2,163.71290897833507,160.08819921460318,RUS
3,218.96055937163638,219.0728725093333,ANT
4,170.7699627798121,169.09148497842426,RUS
5,243.22120613614038,241.4198820695652,RUS
6,226.98172207790273,209.38734933908526,RUS
7,135.09962114233826,134.5211429189002,RUS
8,226.8184791109433,231.79682608220992,ANT
9,276.31138569222225,276.9987569340056,ANT
10,292.002695852344,286.0966758050909,RUS
11,166.2604415893651,157.2218496287064,RUS
12,217.05824447016553,218.30209352990036,ANT
13,268.5969814689216,269.72922951921316,ANT
14,276.72672102233764,268.27434676889237,RUS
15,102.56363732996569,101.05462982096195,RUS
16,201.90321145697723,218.23885582626264,ANT
17,270.9638218186147,271.8356408367497,ANT
18,291.20672294184874,294.7844792577778,ANT
19,303.44689481981266,307.161044869418,ANT
20,308.3972222273016,312.87795726317415,ANT
21,286.77759115670995,308.50475988625186,ANT
22,157.47166676667763,155.6143568669559,RUS
23,235.93812226285715,241.3947134326594,ANT
24,275.29834235050515,278.4583004908052,ANT
25,287.88500096,,RUS
