Minisector,HUL,STR,Fastest
0,277.1268766043408,274.56225068046894,HUL
1,295.04437982545403,297.1445657859048,STR
2,292.96572778013984,294.80568935045204,STR
3,182.70111346352897,174.59539014466316,HUL
4,123.78592781572542,118.21018292718833,HUL
5,237.48412916531322,236.43238028865002,HUL
6,280.0013294608677,280.91240261750204,STR
7,292.0496118949552,294.8896258744985,STR
8,182.62905903970346,181.88769277860166,HUL
9,148.7549876829743,148.7808205691995,STR
10,252.18570188772446,251.22135650083246,HUL
11,289.3687777699471,288.78259687663217,HUL
12,298.71218644704936,298.2004344198347,HUL
13,281.7190674613564,280.4117316274538,HUL
14,297.7841678708855,294.28167499304453,HUL
15,303.1805167877214,295.53059517667526,HUL
16,253.52873040192495,244.95173278018214,HUL
17,227.14423686172304,229.03204365335506,STR
18,274.08997457264616,276.4330414397433,STR
19,295.99552613117413,297.9342520720665,STR
20,298.9394500251852,299.495979472,STR
21,242.79518445924467,237.89159076073238,HUL
22,264.09500054028985,264.3729045036903,STR
23,137.92973422618837,137.61680596840776,HUL
24,218.26274748124357,217.1610612354492,HUL
25,254.0,,HUL
