Minisector,VET,GAS,Fastest
0,265.98218536769076,260.6293049955556,VET
1,135.91671917497592,133.4749431479232,VET
2,264.66343350217363,263.759756291047,VET
3,305.1273004746085,300.7727926031746,VET
4,303.70749994666664,296.1172009777655,VET
5,309.7817708,304.641333248,VET
6,313.84751158306875,309.5194443111111,VET
7,315.03478265507243,310.2409144888889,VET
8,213.4068847814672,198.60996207866995,VET
9,201.9285391814672,201.5733432712227,VET
10,190.3242525262014,176.36825284986162,VET
11,164.51781062788112,172.51955966983266,GAS
12,253.94535719619046,254.62005259770115,GAS
13,280.07109350174346,275.0527299678161,VET
14,283.9392857494505,277.22853674016613,VET
15,282.494443784127,268.92876973262787,VET
16,187.79441368273712,187.0973771105603,VET
17,197.30267045559845,191.04401228044935,VET
18,244.65635755548746,243.52787568076008,VET
19,291.1169287619048,286.64400173479856,VET
20,309.82458573760186,304.9442490498317,VET
21,316.17088000764335,310.9481398476191,VET
22,316.3083580888889,309.62266666666665,VET
23,271.65444486097437,225.3138970217046,VET
24,117.86588611666667,118.10834339951575,GAS
25,230.93333333333334,,VET
