Minisector,NOR,GAS,Fastest
0,290.6380358552381,291.39714902456143,GAS
1,297.64702360560227,296.8004638814815,NOR
2,165.39411626666669,169.55997679191918,GAS
3,217.93469534943802,222.94621467447175,GAS
4,273.72312544,272.45401430716254,NOR
5,293.17999343068783,293.72017532631577,GAS
6,295.83032397037033,301.5460648888889,GAS
7,189.05301535632185,185.19190642448663,NOR
8,116.37055630222221,121.22459992358982,GAS
9,247.47510855064937,247.79563443809525,GAS
10,285.97278829072684,283.8455119672004,NOR
11,296.9657406814815,295.88352457898355,NOR
12,153.27422991123552,152.70188182804952,NOR
13,180.44166783999998,187.9305393531774,GAS
14,255.2108674330381,257.4170350294785,GAS
15,206.160141221978,205.66668339141063,NOR
16,216.28611146666665,218.62678338895145,GAS
17,218.7133708006604,212.36556876659796,NOR
18,243.0406931878788,242.07794424883068,NOR
19,275.6568346022166,275.20375939849623,NOR
20,292.5335649185185,292.5449536277576,GAS
21,270.1602374552381,264.6618289073751,NOR
22,228.47851952268755,227.45126426685457,NOR
23,200.30163213544972,205.00221861022325,GAS
24,264.45360105568346,262.3281248,NOR
25,,282.02916693333333,GAS
