Minisector,BOT,GAS,Fastest
0,265.85313983917,262.1746533361165,BOT
1,132.64810804272074,134.83518092320585,GAS
2,190.8997932464473,187.21899857492448,BOT
3,243.75711251485163,240.29583303111113,BOT
4,263.5838709578589,260.32611911774706,BOT
5,180.66554935587445,192.80033963977456,GAS
6,148.1370640546215,141.43136747456995,BOT
7,178.36121414016776,178.7210426303963,GAS
8,105.20187160171066,103.43042975949322,BOT
9,77.83307537712385,76.51525203355534,BOT
10,92.23332940912485,90.80037647267878,BOT
11,167.63527858588208,164.92716891480885,BOT
12,240.85249962666666,237.20611131259258,BOT
13,269.10986191826885,262.9630977776779,BOT
14,281.19314210504433,278.40316191876315,BOT
15,129.20753545432248,126.17588927550747,BOT
16,122.42780096377828,123.8674344076966,GAS
17,191.30124790634102,189.2935749726098,BOT
18,184.75286137928498,188.54535003571064,GAS
19,224.15087317585602,217.45173333431842,BOT
20,132.0220034364532,126.99572300567652,BOT
21,125.87665131755179,118.09909665265606,BOT
22,86.81837839595799,86.1608230564057,BOT
23,185.44616120701755,187.25467188124202,GAS
24,249.66533532322464,241.9806340307961,BOT
25,,257.6374976,GAS
