Minisector,LEC,BEA,Fastest
0,295.21675326350737,296.46930316880116,BEA
1,150.19545297068393,154.75790322850105,BEA
2,143.55932409591793,153.76479554552105,BEA
3,226.07829741823508,224.88857898155604,LEC
4,296.8552637312542,289.35252258933184,LEC
5,288.6821299930736,288.3940522325457,LEC
6,136.63967476374083,140.15377174162106,BEA
7,134.61317072281943,132.36217717249878,LEC
8,129.6527112795616,131.97723096112847,BEA
9,188.14316833307623,185.93574452333334,LEC
10,127.71070773463713,126.1632305980308,LEC
11,121.39485457015051,123.12263809018658,BEA
12,161.66262459954652,162.0361466011954,BEA
13,269.5927317775574,268.40768555408425,LEC
14,296.68564271705685,292.82822474037215,LEC
15,143.6811839210681,143.5731536464759,LEC
16,199.23648292990802,199.45615012305447,BEA
17,162.7172643506451,167.5129007549434,BEA
18,272.9286515894303,271.59807379153887,LEC
19,297.49406833510477,298.0921771102041,BEA
20,314.49254404239343,313.39549166956783,LEC
21,322.44255482872256,322.5934771225397,BEA
22,328.0715635016355,326.1716669471605,LEC
23,338.8173938237909,328.5845648077398,LEC
24,341.30535807746344,327.6839729777778,LEC
25,341.0,324.0,LEC
