Minisector,PER,GAS,Fastest
0,262.70434319548997,263.6440829131653,GAS
1,293.1993788150591,293.2515620666667,GAS
2,309.98395783829596,315.36209208970894,GAS
3,321.55972246349205,330.2445514666667,GAS
4,328.6579298240325,338.9911988136054,GAS
5,332.4982144,344.20554036043956,GAS
6,285.441403,291.2247951603672,GAS
7,111.84837658740588,115.8101682984127,GAS
8,146.81252184395342,156.35287271724135,GAS
9,249.4888904888889,257.2599523386243,GAS
10,286.27591205,298.0018193049882,GAS
11,242.53166933024963,242.72159669064655,GAS
12,91.95371276103796,93.5957356750243,GAS
13,110.65617607667214,112.37995305614487,GAS
14,214.08646738912543,215.8014569066667,GAS
15,185.39772434330544,185.67569449817057,GAS
16,219.66374954666668,220.9263885206349,GAS
17,190.80363087573224,188.39183651442843,PER
18,219.87498395961694,224.74416544000002,GAS
19,272.84090785688346,272.4767851831933,PER
20,290.30501697451865,283.64724691785943,PER
21,154.4662501688889,149.78093246108375,PER
22,101.33954625582388,104.81133834337682,GAS
23,121.72132346311109,122.16386116523627,GAS
24,200.4905779146998,204.13641264761907,GAS
25,242.56250133333333,,PER
