Minisector,HUL,TSU,Fastest
0,277.1268766043408,275.5472779677668,HUL
1,295.04437982545403,296.3825065917536,TSU
2,292.96572778013984,294.57054467128427,TSU
3,182.70111346352897,179.34785411416317,HUL
4,123.78592781572542,123.51781315316052,HUL
5,237.48412916531322,237.98164889665182,TSU
6,280.0013294608677,279.80074555475,HUL
7,292.0496118949552,292.54329859555554,TSU
8,182.62905903970346,179.64282247159312,HUL
9,148.7549876829743,143.9844096376818,HUL
10,252.18570188772446,250.85076587341868,HUL
11,289.3687777699471,288.0208282866619,HUL
12,298.71218644704936,294.7574985161282,HUL
13,281.7190674613564,276.36508449645714,HUL
14,297.7841678708855,293.4072271473728,HUL
15,303.1805167877214,292.7373724266667,HUL
16,253.52873040192495,251.03516488003393,HUL
17,227.14423686172304,233.57312821851036,TSU
18,274.08997457264616,276.2443920609437,TSU
19,295.99552613117413,296.95824168019703,TSU
20,298.9394500251852,296.6151899547312,HUL
21,242.79518445924467,233.5013355754726,HUL
22,264.09500054028985,259.9419042709113,HUL
23,137.92973422618837,137.1008666850777,HUL
24,218.26274748124357,220.83325269433342,TSU
25,254.0,,HUL
