Minisector,BOT,PER,Fastest
0,292.902976152381,294.6921589057326,PER
1,295.22687498666664,296.8675438596491,PER
2,296.42324564210526,297.479443608638,PER
3,237.64871213898496,233.98110075293377,BOT
4,239.6027067848812,234.1775008,BOT
5,119.37720395018545,114.40525307825739,BOT
6,219.44660543209878,221.33842139455854,PER
7,270.0965128489796,270.3435654675737,PER
8,240.2646407192381,231.66346358974357,BOT
9,118.68357647479735,117.26649676856748,BOT
10,236.95514464368313,237.52376672902142,PER
11,259.17543315670997,256.60243294078674,BOT
12,140.1993841196099,137.1228482104114,BOT
13,215.82868620227867,216.53333226666666,PER
14,271.63595133339135,269.2132761440994,BOT
15,238.0402881584762,222.19855897435897,BOT
16,158.87829284044872,161.91425766277663,PER
17,241.36998964444444,243.94500006400003,PER
18,125.42668293097695,123.87320460625385,BOT
19,151.5357858021661,147.57617482418033,BOT
20,201.60336450311988,198.71350501937602,BOT
21,262.4725313559984,259.98760027633574,BOT
22,279.24666656,275.47539096367296,BOT
23,285.2962299936508,280.5897915504762,BOT
24,293.12158965703316,289.7088867663232,BOT
