Minisector,LEC,RUS,Fastest
0,253.509775230839,250.1958367941663,LEC
1,127.33210823280463,120.64299269181313,LEC
2,194.88105945566136,192.99530775862482,LEC
3,243.89138290910952,241.1204595352381,LEC
4,257.46257308968063,251.277570714799,LEC
5,171.99572156444444,172.18044330763416,RUS
6,144.468377476,143.98695265614177,LEC
7,182.08058867395152,188.34230662095237,RUS
8,99.38244807466447,103.88260825872167,RUS
9,71.48650776104668,73.63115968933779,RUS
10,93.8092624013288,92.60120986621983,LEC
11,182.99391959798868,178.12635718655673,LEC
12,244.06029405367966,241.13113411918366,LEC
13,266.8342226713388,265.58525708698414,LEC
14,278.23669214325884,270.66425428280274,LEC
15,102.8691326141827,113.79206241082026,RUS
16,146.62265640851757,142.49162905772076,LEC
17,175.09310416050795,181.28087942318407,RUS
18,195.7527975942952,194.40031998565826,LEC
19,209.04938896855086,205.12946927865545,LEC
20,133.5232662825808,126.91825755369963,LEC
21,105.82251403185546,120.26762286812084,RUS
22,97.1732601384335,88.24627920938848,LEC
23,195.80631389629627,186.082860653977,LEC
24,250.04912409449364,244.74530825752382,LEC
25,,262.65307816332125,RUS
