Minisector,HUL,KVY,Fastest
0,276.95138717680265,277.0031393643276,KVY
1,119.06645050835398,126.67605755577216,KVY
2,156.35378112211103,156.30407976644975,HUL
3,206.78054970243696,205.895933714941,HUL
4,160.07808659753087,165.35176326507207,KVY
5,243.95810490049777,241.05062604738706,HUL
6,234.24623362040523,207.8247280644962,HUL
7,132.41805974639456,134.69611237844774,KVY
8,225.86319306666667,231.3457430095238,KVY
9,281.5038229325001,272.604042452112,HUL
10,290.7774880806723,283.17477702857144,HUL
11,145.07131467449778,148.1975438468647,KVY
12,213.3867398787879,219.95186661125538,KVY
13,270.7303023024158,267.8183339610103,HUL
14,262.63380065185186,253.26111182222223,HUL
15,98.54246720630812,102.01224582282904,KVY
16,212.958575591342,221.99749994666666,KVY
17,267.66826418939775,267.6604334335505,HUL
18,300.3513014761905,287.6227939764706,HUL
19,316.2380947809524,296.7544442311111,HUL
20,324.9722220088889,300.2708894545192,HUL
21,284.4876538666667,267.8926470901961,HUL
22,148.96979970597266,156.886728915395,KVY
23,234.46016249242817,236.98354122666666,KVY
24,284.39306630812325,272.35668773109245,HUL
