Minisector,PER,VET,Fastest
0,307.7057984,306.8757593212121,PER
1,156.5273537076302,162.19166740666455,VET
2,158.19164621440038,164.19592126871743,VET
3,205.15458817354727,210.39488031899046,VET
4,282.9925520265895,280.87922860845583,PER
5,298.4981066666667,298.38679109185955,PER
6,151.54578044803733,151.01467905852078,PER
7,137.30993154883672,140.848924871978,VET
8,160.45145925436427,166.07636697855207,VET
9,161.5537328557246,154.5567948358195,PER
10,133.8545862248676,138.16586867191512,VET
11,128.81377505682607,130.08744416165752,VET
12,149.39896949744187,147.7901341822724,PER
13,261.3037196591618,260.4479170133333,PER
14,289.7543177291007,290.0327941646508,VET
15,153.46746434949338,157.72468656,VET
16,214.39428864367818,205.87982715947447,PER
17,151.3615169268511,155.73563622044887,VET
18,263.523515945736,263.1480434285714,PER
19,291.7107953454545,288.7447096846043,PER
20,303.7721874133333,302.2257591161905,PER
21,314.0602101727671,313.7437500121212,PER
22,319.49062517333334,317.4397508836959,PER
23,324.44358087692115,328.4832394586466,VET
24,322.65947441269844,334.52884595697134,VET
25,,330.3083338666667,VET
