Minisector,PER,TSU,Fastest
0,288.802869557477,287.77412266666664,PER
1,297.0419124705882,294.47543848421054,PER
2,174.62730897537304,163.42377418039214,PER
3,220.67725557460315,217.43884917414553,PER
4,272.92811959680756,270.23452413968255,PER
5,292.4114357493858,291.7120368592593,PER
6,299.0104636471178,297.9898804902365,PER
7,185.35210381845403,172.6577297363511,PER
8,124.22095492691845,119.28236866818052,PER
9,247.01345762551972,246.33653285097955,PER
10,282.17910367919796,285.9669976550265,TSU
11,291.59517518596493,302.127632,TSU
12,154.24821589479743,142.33088776979602,PER
13,189.7398079624156,185.73524589931975,PER
14,254.81599009477404,257.04049516587014,TSU
15,211.47566186835022,202.42623379753084,PER
16,219.8474059946093,203.38794169497953,PER
17,217.35247658057142,204.95110801867315,PER
18,241.34413440014217,241.03359179792963,PER
19,273.29979728423933,276.42017536106124,TSU
20,289.01754374736845,296.00895987969926,TSU
21,269.16884989111907,249.94246105396823,PER
22,232.0450839983437,212.44124657271192,PER
23,203.42837714188434,203.46033939753087,TSU
24,261.19132731212886,264.8558309390579,TSU
