Minisector,BOT,ALO,Fastest
0,308.0934210245614,308.0060185481482,BOT
1,242.08800042378712,228.38077235996096,BOT
2,138.66718343057644,130.66613037392537,BOT
3,217.74047014805433,212.47858216589262,BOT
4,262.44145760000004,258.7018711292517,BOT
5,288.20251017854224,286.94500876235054,BOT
6,302.85984290412847,302.8635267427346,ALO
7,288.3285114385965,276.1066654933333,BOT
8,176.57511205700095,170.91785912089355,BOT
9,239.30546436017315,237.45108271515153,BOT
10,271.1699996266667,271.19520837333334,ALO
11,268.0633997754902,260.31020507596037,BOT
12,209.23766677333333,200.6830125128205,BOT
13,128.11436559310997,125.3830815552521,BOT
14,125.78171231316016,119.95485274074025,BOT
15,163.67265768095237,160.20669194343432,BOT
16,119.54178993689065,123.74168969628053,ALO
17,232.24288230559006,219.64420289855073,BOT
18,187.9811324627702,183.15086116888912,BOT
19,158.01287783434344,160.1819312821737,ALO
20,245.18139574696653,241.5234944780563,BOT
21,275.2397551799499,272.0113691733333,BOT
22,291.65172144371826,293.72146159576715,ALO
23,301.269885739855,313.1357376912414,ALO
24,304.95694429629634,325.50997033333334,ALO
25,,330.0,ALO
