Minisector,SAI,GAS,Fastest
0,276.8835928085154,274.6808011758274,SAI
1,302.6746430737415,307.04121375492065,GAS
2,317.0697930890815,327.16107958204077,GAS
3,324.2004481621703,338.96705359960583,GAS
4,328.8191270095238,347.4583146123428,GAS
5,328.080254436727,345.9889237447619,GAS
6,209.2008476943238,187.8071957558357,SAI
7,109.37309619887374,104.00746408385874,SAI
8,187.56453380902693,183.30986676670807,SAI
9,263.7983419643808,265.88579997777776,GAS
10,292.0476932711046,300.62711318031745,GAS
11,164.37306178382875,133.71126141126985,SAI
12,94.51707364392291,97.47007923770481,GAS
13,119.2215682414035,120.621824005301,GAS
14,220.32746485576249,220.51080452987014,GAS
15,187.14766774498813,192.387504251435,GAS
16,229.6274994521212,223.99850942060604,SAI
17,177.84506827621587,178.87747833135785,GAS
18,242.99488953763537,241.23373413988304,SAI
19,280.5818777848485,282.55832832739566,GAS
20,245.73921226597403,223.47834272705234,SAI
21,146.87329377246996,141.6398834252217,SAI
22,98.4550483243985,98.93762600620555,GAS
23,126.06238530649519,126.01109984762914,SAI
24,233.00310189357026,231.53044433002506,SAI
