Minisector,BOT,LEC,Fastest
0,285.03783059504764,301.6219182840579,LEC
1,164.51712161143539,163.45735865686808,BOT
2,155.0219409027613,153.8329236561581,BOT
3,220.83378230204082,231.25496816185054,LEC
4,280.2687504484848,288.12503304650824,LEC
5,284.01840146666666,288.789097767541,LEC
6,149.16235345053673,150.34447183865353,LEC
7,144.82990567757577,146.9244576467612,LEC
8,145.2354829326257,156.88730838633697,LEC
9,192.76228353960636,182.4300407681595,BOT
10,130.7313900345967,137.91028569556087,LEC
11,122.9382293425685,128.89422403717222,LEC
12,174.28531037877653,163.85518650133332,BOT
13,268.0104169333333,269.64536976296296,LEC
14,285.43985658863744,292.94761894603175,LEC
15,155.9459785738849,162.68131118095238,LEC
16,203.15727536625624,218.74069438160302,LEC
17,183.33177617447566,169.0655466091751,BOT
18,273.0990336976566,274.4669143807077,LEC
19,293.2699529293802,299.4584406412544,LEC
20,308.00122190828546,314.96666656761903,LEC
21,316.7425739468271,322.26187493333333,LEC
22,317.5761056103422,318.4336443118735,LEC
23,322.77893511111114,326.4485216235001,LEC
24,324.13172607238096,330.97274437293237,LEC
25,320.0,329.7152775111111,LEC
