Minisector,BOT,VER,Fastest
0,305.5235414933333,295.520237968254,BOT
1,309.7713815578947,297.78651859585557,BOT
2,310.109649122807,288.48333413333336,BOT
3,226.341691136,224.38011264204806,BOT
4,229.50927383199198,221.04099661128205,BOT
5,121.1557552779002,121.76074153502046,VER
6,231.46180436825398,229.17989511248624,BOT
7,270.2528352176595,267.28931361670715,BOT
8,218.98170552098765,217.89570627750916,BOT
9,122.93926200802584,124.5905989962453,VER
10,243.86076080152378,239.93419463139693,BOT
11,255.1627735396206,251.432542444794,BOT
12,135.86567530158732,138.370801320784,VER
13,226.29804617922537,219.70123238941798,BOT
14,270.90583296,265.72916630929706,BOT
15,228.58498723315455,223.1326216216237,BOT
16,171.84278108465926,173.49931985565345,VER
17,247.05632299880392,242.61882943982073,BOT
18,122.51542347407407,126.42254433914079,VER
19,143.3896830837886,154.10442426975547,VER
20,209.03582438249865,207.09420893904564,BOT
21,263.8333325575758,255.1838758426501,BOT
22,280.94186493968255,269.7504632011899,BOT
23,289.5739526491018,279.68670437117663,BOT
24,298.69824532210527,289.1353567542857,BOT
