Minisector,BOT,LEC,Fastest
0,284.90979168,287.14641162220744,LEC
1,289.74861112865307,299.06067442756085,LEC
2,174.89635493333333,170.29278265238096,BOT
3,218.44904952421118,216.3780228119779,BOT
4,268.10392871619047,266.46944422312924,BOT
5,288.46754380350876,286.0276316631579,BOT
6,289.4236911077918,292.8729364421,LEC
7,177.27056571182794,196.8252881213404,LEC
8,122.33766052603069,114.31662935146251,BOT
9,245.9384930668759,241.77305881573497,BOT
10,281.5187752682078,277.46890748232744,BOT
11,289.055044154386,291.49320157192983,LEC
12,148.4255440496996,155.1332860501544,LEC
13,190.69613108571428,181.51821405968255,BOT
14,252.64642854603176,254.528596298064,LEC
15,208.39737622286296,207.70437724889248,BOT
16,212.217787654807,214.08423074141243,LEC
17,217.07882164762978,220.92103817100335,LEC
18,242.10032454372293,239.6252977177489,BOT
19,272.81418561048685,271.08056182827187,BOT
20,289.50865006988516,288.6093574677725,BOT
21,268.8737499733333,272.59048688312134,LEC
22,228.02980050047552,228.45545526685535,LEC
23,203.2070704151324,197.12325854814813,BOT
24,260.54412883364995,257.857587117128,BOT
25,,277.75833386666665,LEC
