Minisector,BOT,NOR,Fastest
0,279.44184466285714,281.3803849287982,NOR
1,223.35998503366883,220.19576184761902,BOT
2,118.41569999195087,114.19425203654153,BOT
3,201.92637973919412,200.33066457104294,BOT
4,177.08501293697682,169.70087287511583,BOT
5,223.98586801587302,222.32363525079367,BOT
6,279.0992778580433,279.5233390596491,NOR
7,297.2196758518519,297.43198677673263,NOR
8,179.2824904634764,168.6408557160173,BOT
9,129.04684638773304,123.55226659878444,BOT
10,139.54348335238095,137.08326187597737,BOT
11,201.68131449438474,203.85602076483516,NOR
12,213.61816686933332,203.50140296378012,BOT
13,136.16478594663226,130.582305853097,BOT
14,144.6059949196094,135.74543446198365,BOT
15,136.1834287857305,140.36788044867765,NOR
16,258.73848172550515,259.1306089826591,NOR
17,140.14462208977437,134.62712334078992,BOT
18,206.35019349319123,206.72490393410658,NOR
19,135.08437046093158,126.65219213954444,BOT
20,144.45999854898525,143.17651367076442,BOT
21,127.43728133636068,126.58917183181501,BOT
22,158.3332374560638,155.65124887277142,BOT
23,228.30711795555555,217.10187712820513,BOT
24,244.70693957877532,243.38481299570054,BOT
