Minisector,PIA,RUS,Fastest
0,291.0554977658095,293.25854158933333,RUS
1,301.9233823018488,305.2180201231614,RUS
2,303.2390176005409,309.18402880802006,RUS
3,193.48065947193334,186.92295432344125,PIA
4,210.3424484868214,210.27849195936508,PIA
5,202.89470825031694,206.59298290796255,RUS
6,262.56657869172903,264.9310512971705,RUS
7,255.28955131097308,260.1274683841833,RUS
8,213.4695762100618,216.94938540259741,RUS
9,210.75627022058373,210.66698212633202,PIA
10,140.75313830086628,137.47047175059296,PIA
11,200.89679340495348,204.21833355419815,RUS
12,188.4290447884283,185.421186590823,PIA
13,252.05906370811508,254.81558725587303,RUS
14,185.49942644063492,180.63793950517373,PIA
15,231.4871043339269,234.00316771555558,RUS
16,279.7119981329705,281.21952689975075,RUS
17,290.767638281946,292.1419586213152,RUS
18,285.63933506408716,284.89121173399224,PIA
19,273.4462897287247,267.4597224622222,PIA
20,265.82625424159164,266.3746565643699,RUS
21,264.88941810427934,260.24735051993076,PIA
22,231.14001794288512,249.91032955897842,RUS
23,207.63863368932104,208.7605987525199,RUS
24,266.9888140300164,270.9240434204575,RUS
25,281.0,,PIA
