Minisector,SAI,VET,Fastest
0,269.61555428131373,272.17829869555555,VET
1,288.1770998789035,287.98268904748613,SAI
2,288.2587656606211,288.54185892525254,VET
3,181.66030546342353,182.51722011613901,VET
4,124.09028513102453,123.13193695958441,SAI
5,234.3883842871795,236.24504130480315,VET
6,274.7672968870037,274.8422472882046,VET
7,281.8261957538717,281.82617563216706,SAI
8,188.00079706950098,172.95099499453687,SAI
9,145.37985411047705,142.32198676696225,SAI
10,245.37847145818182,247.91809440559442,VET
11,281.307872414409,284.57310456308636,VET
12,296.34228170307455,295.3991063850587,SAI
13,284.0869574432323,269.74295544811986,SAI
14,295.7854707934199,287.62397793057653,SAI
15,293.3959648748538,289.7307023240422,SAI
16,248.10756243482004,231.28140856507937,SAI
17,218.03220441520733,218.4886426556183,VET
18,270.20287867580504,269.436385388052,SAI
19,293.0289255204294,289.8981897050503,SAI
20,295.77618097683745,297.6352795031056,VET
21,234.39764276825434,221.14701435525993,SAI
22,254.32990775454093,257.0297345413867,VET
23,139.09525352795737,131.8893390180122,SAI
24,215.90815656462877,214.25580649204485,SAI
25,253.218748,,SAI
