Minisector,HAM,ALO,Fastest
0,293.42067343946127,298.3068730952381,ALO
1,212.02559322723917,210.8504250496032,HAM
2,143.86191176950229,138.5574997165772,HAM
3,218.7246012657085,217.30293502408972,HAM
4,160.34824718753785,160.57380872871957,ALO
5,183.33173404848483,173.83839113890375,HAM
6,247.94889142454758,247.6392211499118,HAM
7,273.09295067375797,275.4079731649123,ALO
8,279.1791609765854,281.6571758010582,ALO
9,261.6580785740289,252.9551927669841,HAM
10,242.7716508082251,240.1139087472864,HAM
11,241.65760318423276,241.57801528043663,HAM
12,209.6806267295046,206.89538120908426,HAM
13,137.83121366395383,140.41194417548087,ALO
14,148.99247288081511,138.63619902287115,HAM
15,175.67351987734185,175.57890521333334,HAM
16,245.54847121402386,246.62130883809522,ALO
17,238.38896975413627,232.8877470104838,HAM
18,115.3726389760521,113.04922973318492,HAM
19,191.28200450424242,195.11927021537977,ALO
20,201.80723019802744,189.70115146733752,HAM
21,232.76866123753845,232.72054972794064,HAM
22,259.75778468414455,271.0055013898315,ALO
23,276.89533703988457,293.5956894541075,ALO
24,288.7596195163359,310.80242967183676,ALO
