Minisector,NOR,LAW,Fastest
0,292.45572067927134,238.13391315478262,NOR
1,312.4125,213.62587362962964,NOR
2,326.65256418461536,208.45076943316238,NOR
3,335.1671849196639,235.96023581449276,NOR
4,337.7085714285714,258.0953506999499,NOR
5,314.43352255584415,268.97767004132135,NOR
6,220.30076098228955,185.1069260952381,NOR
7,103.94505097142857,117.98269016490485,LAW
8,101.93294131814159,147.61432021333334,LAW
9,199.5208016227343,177.97182649112372,NOR
10,238.4748018285714,116.10080160256435,NOR
11,263.52751893172933,112.23834006179894,NOR
12,261.9262464242955,165.03978501505378,NOR
13,165.49720396087827,160.8398483781818,NOR
14,114.2168351847619,135.01182781273235,LAW
15,134.32363141333332,148.17601296377913,LAW
16,202.8448888888889,205.22075666737214,LAW
17,233.36440222608698,244.34136418077924,LAW
18,239.03148157037037,281.41616295217386,LAW
19,219.20671817333334,294.0,LAW
20,209.82440664565658,307.987000064,LAW
21,244.27493089777778,319.9153560708907,LAW
22,259.29453128,323.61761367272726,LAW
23,263.49901711383217,323.1223955333333,LAW
24,180.06720978962963,,NOR
