Minisector,LEC,HUL,Fastest
0,324.0299603809524,318.8785716825397,LEC
1,331.98161240684544,324.9902777481482,LEC
2,331.5491227508772,318.7718072322233,LEC
3,174.86743512595456,175.06022882265123,HUL
4,133.56381961010473,137.01320239407409,HUL
5,273.11866254760014,268.5664802029471,LEC
6,305.60666337952034,299.094444647619,LEC
7,317.9818750933333,305.8295635809524,LEC
8,261.7862830052833,260.61284568253967,LEC
9,155.19614647999998,157.25865433456346,HUL
10,221.1912122820781,215.86830319999999,LEC
11,229.84547634402244,229.0187464678648,LEC
12,199.18307398889593,206.39485752303938,HUL
13,279.30893783188407,273.50359265783754,LEC
14,313.31337734736843,304.29101493696146,LEC
15,326.2246173536868,311.05119050158726,LEC
16,249.94733201066666,254.60299977142859,HUL
17,213.453779566808,214.08910907979413,HUL
18,278.4569810562771,276.7394931478261,LEC
19,313.2556231763636,307.47779817912533,LEC
20,328.3002844723239,320.3579364910053,LEC
21,297.49345127619046,300.5751169538221,HUL
22,210.00829191254215,210.99730335961866,HUL
23,274.48162923636363,267.2512479885486,LEC
24,309.99288229469477,302.5771476405797,LEC
