Minisector,LAT,VER,Fastest
0,268.9483325333333,270.28655258181817,VER
1,289.8476504880708,291.9850872701754,VER
2,295.80637032535907,297.4375002980392,VER
3,123.06062902156836,131.48713629437228,VER
4,189.04269965315999,188.78371726922825,LAT
5,248.34461710366816,254.9093253079365,VER
6,141.78918836993708,145.58678099227836,VER
7,195.02228636730524,198.20661188853614,VER
8,256.4082788414836,257.7425929940522,VER
9,273.2782927775868,282.15526321403513,VER
10,228.11699985066664,237.4266055089027,VER
11,171.59666128680075,181.42094857235605,VER
12,184.42286543448276,185.2276301751363,VER
13,144.32979110818215,150.02718815115756,VER
14,170.8500776232011,175.50487100532428,VER
15,157.26736187102415,162.94770896623376,VER
16,214.24220200438663,216.65848094389912,VER
17,222.74144743407732,229.87916772173915,VER
18,231.3437459069564,233.7771630746837,VER
19,235.68759028609858,246.18634107661345,VER
20,140.03984106166254,144.15193235770167,VER
21,134.1952679730546,137.00014462793908,VER
22,165.9269562313719,167.3387809672966,VER
23,147.51576856576304,148.65601876730753,VER
24,222.80143107340052,226.64723135429776,VER
25,255.35000000000002,,LAT
