Minisector,GAS,NOR,Fastest
0,290.65192311794874,297.286573708642,NOR
1,159.53220767783338,155.97438663654546,GAS
2,153.04276129317523,150.2485527414565,GAS
3,222.30913978494624,223.18370721784552,NOR
4,283.56116671699755,286.8079531763809,NOR
5,289.73904761904765,289.5328705580247,GAS
6,146.29765568166556,141.2883083516395,GAS
7,141.17949596596677,140.9644588589051,GAS
8,149.17388938809256,144.1336439465053,GAS
9,179.247765861328,179.4005837666328,NOR
10,134.8563572998248,132.40599420311503,GAS
11,130.6675700579114,124.62077624798958,GAS
12,161.125575110028,166.12181510876368,NOR
13,265.1409968315801,271.1528558675045,NOR
14,290.7210144927536,295.9752893206867,NOR
15,154.66574864071345,150.8365288747588,GAS
16,211.12410071162935,209.1385606065262,GAS
17,167.08995653941153,164.88780952490487,GAS
18,267.60500946867245,270.1263108959574,NOR
19,290.4425843809524,297.5316906605714,NOR
20,302.5915427111111,311.6336945785506,NOR
21,310.2536231884058,319.52632576969694,NOR
22,314.2809028,322.8126669636899,NOR
23,315.7915715795868,332.3437495834268,NOR
24,311.9520832820513,332.9806183377708,NOR
